pyClassName,pyPropertyName,pyPropertyMode,pyPageClass,pyStringType,pyTextValue(1),pxUpdateDateTime,pxUpdateOpName,pzInsKey
NFCU-Data-ACCT-Account-Len,LifetimeInterestReceived,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:23.1,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LIFETIMEINTERESTRECEIVED #20201228T214923.083 GMT
NFCU-Data-ACCT-Account-Len,YearToDateInterestIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:55.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN YEARTODATEINTERESTINCOME #20201228T214955.781 GMT
NFCU-Data-ACCT-Account-Len,PaymentMethod,String,NULL,Text,NFCU-Data-Account:01-01-01,35:32.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PAYMENTMETHOD #20210209T223532.581 GMT
NFCU-Data-ACCT-Account-Len,DaysDelinquent,String,NULL,Integer,NFCU-Data-Account:01-01-01,35:30.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN DAYSDELINQUENT #20210209T223530.767 GMT
NFCU-Data-ACCT-Account-Len,MaturityDate,String,NULL,Date,NFCU-Data-Account:01-01-01,35:31.6,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MATURITYDATE #20210209T223531.595 GMT
NFCU-Data-ACCT-Account-Len,RemainingPaymentTerm,String,NULL,Integer,NFCU-Data-Account:01-01-11,19:48.8,Jeffrey W Hawthorne,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN REMAININGPAYMENTTERM #20221223T191948.762 GMT
NFCU-Data-ACCT-Account-Len,CompletedPaymentCount,String,NULL,Integer,NFCU-Data-Account:01-01-11,19:46.4,Jeffrey W Hawthorne,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN COMPLETEDPAYMENTCOUNT #20221223T191946.359 GMT
NFCU-Data-ACCT-Account-Len,LenderID,String,NULL,Text,NFCU-Data-Account:01-01-01,35:31.4,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LENDERID #20210209T223531.422 GMT
NFCU-Data-ACCT-Account-Len,CurrentMonthlyPaymentAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,35:30.2,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTMONTHLYPAYMENTAMOUNT #20210209T223530.204 GMT
NFCU-Data-ACCT-Account-Len,CurrentFirstPrincipalBalance,String,NULL,Decimal,NFCU-Data-Account_Branch_ENT_MTG_DATA:01-01-01,22:27.3,Sunita Jogi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CURRENTFIRSTPRINCIPALBALANCE #20220329T212155.503 GMT
